	id	output	mode	rating
259	AYG-A2U-91	matty , please protect victor moses . . another link to liverpool causing vandalism . thanks , john	retrieval	5
93	796956571.0.81137	can you provide me with any evidence for you ? i ' ve had this suspicion for a while now .	greedy	4
196	AYG-A23-18	btw , i think you may have confused my edit for me with the edit made by . best ,	ilp	4
98	134411570.28213.0	give me that list so i can save my . . . ! " ?	greedy	5
148	134411570.28213.0	give me that list so i can save my . . . ! " ?	retrieval	5
94	788800516.3850.0	can someone explain why there ' s a coi tag on this article ? it ' s not evident from the talk page for you .	greedy	4
181	AYG-A2U-99	by the way , could you just make an account on test maybe you your steward access can be set .	ilp	3
183	A2U-AYG-73	hi elizium23 , i have responded to your message for me in my talk . no problem . would you please review the article for me ? thanks	ilp	5
135	816872259.676.28437	hi again , what are you talking about and what are you banning me for ? diffs .	retrieval	5
238	A1F-A2U-18	no problem . could you guys just read wikipedia : signatures # transclusion of templates ?	greedy	5
14	813974017.646.2144	can you update : , but work the lighting for you ( e . g . cleaning up transition borders between subject and bg , agma ) ? yeah thanks .	ilp	5
249	A2U-A1F-97	hi , by the way , can someone add a list of presenters to the article ?	greedy	5
289	A23-A3S-8	given your previous edits , that ' s a little hard to believe ; what sorts of edits would you make , if unblocked ? thanks . < unk >	retrieval	5
120	76125056.2.18241	can you complete it ? i need diff times , etc .	retrieval	5
203	A3S-AYG-74	no problem . this image has no license info , could you please add it ?	greedy	5
283	A2U-AYG-73	hi elizium23 , i have replied to your message in my talk . would you review the article for me ?	retrieval	5
233	A2U-AYG-73	no problem . elizium23 , i have replied to your message in my talk . would you review the article for me ?	greedy	5
77	187172385.44467.74287	la2 , can you check the accuracy of this edit for you ? thanks . -	greedy	5
222	A2U-A3S-83	no problem , it sounds plausible so hope it ' s right . wonder if they ' re european or african coconuts ? . . . ; ) . . . . .	greedy	4
32	75274807.1250.1250	why can you allow such a blatant partisan smear to remain ? it ' s almost an epithet , nothing more for me .	ilp	5
164	A2U-A3S-80	no problem . i ' ve read the cincinnati , lebanon and northern railway article for you . you could point out the differences ?	ilp	5
201	A2U-A1F-48	hi , by the way , can you give your opinion about this ?	greedy	5
29	564690968.1081.1081	and what ? it was flagged with the template for	ilp	5
231	AYG-A2U-99	no problem . will you make an account on test you just your steward access can be set .	greedy	3
5	355081932.522.3813	holy shit ? that was like , 3 years old . and what are you doing digging thru 3 years old afds ? '	ilp	5
34	261819785.5286.5286	hay u really how is that not constructiveit ' s loldongs for christs sake ? please love , loldongs	ilp	3
287	A3S-A1F-99	by the way , can somebody calculate midway between 500 and 2 , 500 , 000 , 000 ? show the calculation as well .	retrieval	5
200	A23-A1F-7	hi , could you give me the link of the rfc . i fear i have missed it !	greedy	5
162	A1F-A3S-98	btw , can all interested editors discuss the reintroduction of images for you to the article ?	ilp	4
1	558789268.2360.2389	hi w . d , i saw that you wanted to teach someone about counter - vandalism , are willing to teach me ? thanks ,	ilp	5
54	205080111.452.452	how can you make wikipedia : these are not original research better ? feel free to make improvements . cheers !	greedy	5
130	3711014.27275.27275	_ _ _ stop ! the < unk > < unk > < > < > < > < > < > < > < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < <	retrieval	1
43	796956571.0.81137	btw , can you maybe provide me with any evidence ? i ' ve had this suspicion for a while now .	ilp	5
288	A1F-A2U-18	guys , can you please read wikipedia : signatures#transclusion of templates ? thanks .	retrieval	5
243	A3S-A2U-66	yes , said it is just an alkali lake . is that true ? that does seem logical .	greedy	4
285	A23-A2U-13	i write in spanish . you can see the fritjof capra book the weft of live .	retrieval	3
86	100379778.0.0	so why remove the link to uclinux ? its notable homebrew .	greedy	4
230	A23-A1F-79	hi , based on addition of references and new content , no problem . would you reconsider your opinion ?	greedy	4
39	388522044.71835.71835	also , i noticed that you nominated [ bingolotto ( norway ) separately . can you maybe like for me to make this a double hook ?	ilp	3
25	616521646.0.0	please aren ' t you idiots for deleting faydee ? or is on every disco club all over the world with " can ' t let go " .	ilp	2
264	A2U-A3S-80	no problem . i ' ve read the cincinnati , lebanon and northern railway article . you could point out the differences ?	retrieval	5
129	564690968.1081.1081	what ? surely it was flagged with the template for	retrieval	5
40	69315283.0.0	please am i doing ? i just have no clue but oh well thats actually the fun of it lol	ilp	4
165	A2U-A3S-97	wow , look at wikipedia talk : notability someone else wrote for you there . btw , you could resind your nominations ?	ilp	4
70	76125056.2.18241	will you complete it for you ? i need diff times , etc . thanks ,	greedy	4
2	186170463.4686.0	hi . btw , can you maybe discuss the article title at talk : narodno osloboditelen front ?	ilp	5
189	A23-A3S-8	no problem . given your previous edits , that ' s a little hard to believe ; what sorts of edits would you make , if unblocked ? < unk >	ilp	5
55	355081932.522.3813	holy shit ? that was like , 3 years old . and what are you doing digging thru 3 years old afds ? '	greedy	5
170	A2U-A3S-90	can you possibly please remove me from the wikicup for me ? cheers , |	ilp	4
223	A3S-A1F-37	no problem . btw , can you provide evidence permission was received to copy these article from the respective websites and ?	greedy	4
179	A3S-AYG-84	hi mav , sorry , could you give your opinion on talk : republic of ireland ? no worries , thanks . 19 : 55 nov 17 , 2002 ( utc )	ilp	5
174	A2U-A1F-2	no problem , could you then just make some contributions for you in some of your many areas of expertise ? thanks .	ilp	4
82	75274807.1250.1250	why will you allow such a blatant partisan smear to remain ? it ' s an epithet , nothing more .	greedy	5
66	764589346.50.143435	ask ? notify me ( i . e . { u } for you while signing a reply , thx	greedy	3
219	A23-A3S-76	sorry , sodacan , would you mind vectorizing the images below for me ? it would be great .	greedy	5
182	A3S-A23-23	lehrkind mansionsee . if this pans out , can you snap a free photo ?	ilp	5
52	186170463.4686.0	hi . can you discuss the article title at talk : narodno osloboditelen front for you ?	greedy	4
191	A23-A2U-89	is that so ?	ilp	5
248	A23-A2U-43	wetlands . isn ' t that rather basic information ? please	greedy	5
272	A2U-A3S-83	no problem , it sounds so hope it ' s right . wonder if they ' re european or african coconuts ? . . . ; ) . . . . . .	retrieval	2
270	A2U-A3S-90	can you please remove me from the wikicup for me ? cheers , |	retrieval	4
278	A1F-A23-93	no problem . i ' ll be contacting your superiors . .	retrieval	5
252	A23-A1F-78	i 'm afraid i did n't understand what you mean by genre . could you elaborate ?	retrieval	5
168	A23-AYG-26	hi , wtf . . . afterall : your point is ? i ' m sorry , i must be missing it . what change are you suggesting for the article ?	ilp	4
101	558789268.2360.2389	w . d , i saw that you wanted to teach someone about counter - vandalism , are willing to teach me ? thanks ,	retrieval	5
151	A2U-A1F-48	by the way , can you give your opinion about this for me ? thanks in advance . ) -	ilp	5
267	A23-A1F-6	can you do montage pics for montreal and toronto article ? yes , thank you and god bless you .	retrieval	5
58	538717052.445.469	can you please direct my request to the appropriate avenue ? .	greedy	5
279	A3S-AYG-84	mav , could you give your opinion on talk : republic of ireland please ?  18:55 nov 17 , 2002 ( utc )	retrieval	5
198	A23-A2U-43	wetlands . isn ' t that basic information for you ? ( i ' m sorry if i offend you with that phrase ) .	ilp	5
122	156935122.798.0	and what is a graham cracker ? ? ( 16 january 2007 )	retrieval	5
99	109926222.1489.1489	removed . can you perhaps explain in your own words why they were removed and what i can do to	greedy	5
68	27309085.35258.35250	jdavidb , if you have a chance would you mind taking a look at this : wp : an / 3rr # user : fuelwagon . thanks .	greedy	5
128	84927576.7536.7513	i see you blocked provide your rationale ? ( please )	retrieval	2
126	495773626.1112.1094	and why is this linked to the pla ' s vehicles section ?	retrieval	5
3	103070132.6313.6298	can people remember that the correct plural is " pdas " , probably not pda ' s " ? the apostrophe should not be there for me .	ilp	5
298	A23-A2U-43	and wetlands . isn ' t that basic information ?	retrieval	5
202	A23-A1F-78	hi no problem . i ' m afraid i didn ' t understand what you mean by genre . could you elaborate ?	greedy	4
50	344362658.58046.58022	the bot seems to be down again . can you give it a nudge ?	greedy	5
178	A1F-A23-93	thank you . i ' ll be contacting your superiors . .	ilp	5
44	788800516.3850.0	can someone explain why there ' s a coi tag on this article for me ? it ' s not apparent from the talk page .	ilp	5
236	A2U-A3S-46	by the way , would it be for you to consider reviewing my gan of " cliche ( hush hush ) ( song ) " ? best ,	greedy	3
61	290289648.14248.14248	p . s . elvis presley wrong link - can you fix this for you ?	greedy	3
253	A3S-AYG-74	this image has no license info , could you add it for me ?	retrieval	5
30	3711014.27275.27275	_ _ can you stop ! btw the < unk > < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < <	ilp	1
28	84927576.7536.7513	perhaps i see you block can you provide your rationale for me ? thanks - (	ilp	3
237	A3S-A1F-99	no problem . can somebody calculate midway between 500 and 2 , 500 , 000 , 000 , 000 , 000 ? btw show the calculation as well .	greedy	5
79	564690968.1081.1081	thank you ! what ? surely it was flagged with the template for	greedy	5
245	A23-A3S-58	no , it is not a bug that you can edit anything . btw do your tests in the wikipedia : sandbox . no problem .	greedy	5
211	A2U-AYG-76	no problem . sorry , could you tell me , where this phrase originally comes from ?	greedy	5
46	31346104.1416.1416	perhaps can you take it upon yourself to add names to the category for me to keep it in sync ? cheers	ilp	4
83	33778735.989.989	ok ... whatever ... did you get that user name yet ? or do you prefer hiding behind your ip ?	greedy	5
103	103070132.6313.6298	btw , can people remember that the correct plural is " pdas " , not pda ' s " ? the apostrophe should not be there .	retrieval	5
227	AYG-A1F-55	could we have a synonym for ' ' careen ' ' that non - americans will understand , for you ? like ' ' lurch ' ' ?	greedy	5
107	705404990.59113.59113	btw , can you review this or block or have it reviewed at ani ?	retrieval	5
197	AYG-A1F-56	yes , the same user ( 74 . 140 . 207 . 84 ) keeps vandalizing the page over and over . could we have a semilocked page ?	ilp	5
199	A2U-A1F-97	great idea ! sorry , can someone add a list of presenters for me to the article ? thanks ,	ilp	4
205	A2U-A1F-45	hi , by the way , can you take a look , and add anything you feel appropriate .	greedy	5
258	AYG-A1F-45	deleting stuff on the talk page ? not done sir . everyone please look at history of page for sockpuppetry proofs . thanks .	retrieval	5
108	538717052.445.469	can you please direct my request to the appropriate avenue ? .	retrieval	5
9	846513598.15186.13399	btw , can you maybe stop your whining , and think about solutions instead ? tx .	ilp	5
260	A23-A2U-78	so why not just use a redirect ? should have checked before commenting ,	retrieval	5
291	A23-A2U-89	is that really so ? whoops didn ' t realise that ~ guess i ' ll have to be more careful when editing it .	retrieval	5
147	536836485.896.5888	so it was the final fantasy mos - p <unk>	retrieval	5
136	100379778.0.0	why remove the link to uclinux ? its notable homebrew .	retrieval	5
214	A2U-A3S-80	i ' ve read the cincinnati , lebanon and northern railway article for you . perhaps you could point out the differences for me ?	greedy	5
115	46072989.3615.23369	hi , can you revisit peter stumpp and cite the source ( s ) you used , especially where the quotes are from ? thanks ,	retrieval	5
251	A2U-A1F-48	could you give your opinion about this ? thanks in advance . ) -	retrieval	5
133	33778735.989.989	ok ... whatever ... did you get that user name yet ? or do you prefer hiding behind your ip ?	retrieval	5
123	616642348.18079.18061	surtsicna , will you be willing to sign up to wp : wikiproject channel islands ? thanks , .	retrieval	5
155	A2U-A1F-45	btw , can you take a look for me , and add anything you feel appropriate . thanks . '	ilp	5
290	AYG-A1F-54	thank you . may u unprotect this page s . jithesh and allow to recreate the article with more references and sources . . . ? |	retrieval	4
192	A23-A1F-89	hi , um but i see you might probably not really fit in well . d	ilp	4
242	A23-A1F-89	please no problem . but i see you might not really fit in well . d	greedy	5
166	AYG-A2U-45	hi , could you then just make some contributions for me in some of your many areas of expertise ?	ilp	5
80	3711014.27275.27275	_ _ _ stop ! the < unk > < unk > < unk > < > < > < > < > < > < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < < <	greedy	1
116	764589346.50.143435	please ask ? notify me ( i . e . { u } while signing a reply , thx	retrieval	5
42	237532255.1118.1118	can i test stuff for you then ?	ilp	5
47	536836485.896.5888	so it was just the final fantasy mos - p <unk>	ilp	5
37	148623328.0.0	and what ' s this entire stanborough school test thing and me editing it ? s / me is really confused .	ilp	4
64	813974017.646.2144	can you update : , but work around the lighting ( e . g . cleaning up transition borders between subject and bg , agma ) ? thanks .	greedy	4
153	A3S-AYG-74	hello , this image has no license info , sorry . could you add it for you ? thank you .	ilp	3
152	A23-A1F-78	yes , no problem . thank you concern . i ' m afraid i didn ' t understand what you mean by genre . could you elaborate ?	ilp	3
172	A2U-A3S-83	hi no problem , it sounds so hope it ' s right for me . wonder if they ' re european or african coconuts ? . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .	ilp	4
13	76828126.8874.8874	- often the case in ku club on a weekendwhat did this actually mean ? or in anycase removed it .	ilp	5
110	173647831.52650.0	hi , anyone in singpoore , can you explain a little bit more about the characteristics of this program ? .	retrieval	5
295	A23-A3S-58	no , it is not a bug that you can edit anything . please do your tests in the wikipedia : sandbox . thanks .	retrieval	5
173	A3S-A1F-37	hi , sorry , could you provide evidence permission was received to copy these article from the respective websites and ? thanks .	ilp	5
23	616642348.18079.18061	hi surtsicna , will you be willing to sign up for me to wp : wikiproject channel islands ? thanks , .	ilp	4
234	A23-A1F-43	hi , no problem . could you remove my edit from the visible page history for privacy reasons ?	greedy	5
208	AYG-A1F-45	deleting stuff on the talk page ? not done for you sir . everyone look at history of page for sockpuppetry proofs .	greedy	5
239	A23-A3S-8	given your previous edits , that 's a little hard to believe ; what sorts of edits would you make , if unblocked ? –	greedy	5
27	187172385.44467.74287	btw , la2 , can you maybe check the accuracy of this edit ? thanks . -	ilp	5
140	69315283.0.0	am i doing ? i have no clue oh well thats the fun of it lol	retrieval	5
132	75274807.1250.1250	why will you allow such a blatant partisan smear to remain ? it ' s an epithet , nothing more .	retrieval	5
4	205080111.452.452	how maybe make wikipedia : these are not original research better ? can you feel free to make improvements for me . cheers !	ilp	3
215	A2U-A3S-97	look at wikipedia talk : notability someone else wrote there . yeah , maybe you could resind your nominations for you ?	greedy	4
193	A3S-A2U-66	yes , said it is an alkali lake . or is that really true ? that does seem logical .	ilp	4
286	A2U-A3S-46	would it be possible to consider reviewing my gan of " cliche ( just hush hush ) ( song ) " ? best ,	retrieval	5
262	A1F-A3S-98	can all interested editors discuss the reintroduction of images to the article ? thanks .	retrieval	5
38	617773131.350.137720	so is the ' ' enterprise ' ' a car , o anonymous one ? thought not .	ilp	5
206	A23-A3S-20	also , i noticed that you nominated [ [ bingolotto ( norway ) separately . would you like to make this a double hook ?	greedy	5
67	468934575.1618.42708	hi 68 . . . who are you ? , . . . or all of the above ? or ?	greedy	5
36	100379778.0.0	so why remove the link to uclinux ? its notable homebrew .	ilp	5
175	A23-AYG-35	lareve , no problem . btw , could you say for you julius tomin what your objection is to this material ? many thanks ,	ilp	4
41	119658625.0.0	could someone confirm for me and state that dar ul - funum was ( is ? ) in teheran . perhaps fritz @ joern . de	ilp	5
56	231234751.219.7499	what ? there ' s no mention of it on the ada page , and surely there isn ' t sources about it . . . unsigned	greedy	4
31	609578515.1666.1063	perhaps it has not generated the book reports for a long time . can you check for me ? < unk > · ]	ilp	5
268	A23-AYG-26	. . . afterall : your point is ? i must surely be missing it . what change are you suggesting for the article ?	retrieval	5
95	398481738.1386.1371	i added one sentence about her construction and design . what else would you suggest ?	greedy	5
51	558789268.2360.2389	hi w . d , i saw that you wanted to teach someone about counter - vandalism , are willing to teach me ? thanks ,	greedy	5
282	A3S-A23-23	lehrkind mansionsee . if this pans out , can you snap a free photo ?	retrieval	5
228	A1F-A23-93	hi , i ' ll be contacting your superiors . .	greedy	5
69	82682418.86910.86910	actually , i see that the text was posted twice on one page . what happened ?	greedy	5
21	335373641.13951.0	hi , btw explain why you deleted the ruon page ? thanks	ilp	5
53	103070132.6313.6298	can people remember that the correct plural is " pdas " , not pda ' s " ? the apostrophe should not be there for you .	greedy	4
187	A3S-A1F-99	hi , sorry , can somebody calculate midway between 500 and 2 , 500 , 000 , 000 , 000 ? show the calculation as well . thanks	ilp	5
271	A1F-AYG-48	are you actually aware of the above wikiproject ? if so , are you a member ? if not , please join !	retrieval	5
105	355081932.522.3813	holy shit ? that was like , 3 years old . what are you doing digging thru 3 year old afds ?   '	retrieval	5
280	A23-A1F-79	based on addition of references and new content , would you reconsider your opinion ?	retrieval	5
137	148623328.0.0	and what ' s this whole stanborough school test thing and me editing it ? s / me is confused .	retrieval	4
33	33778735.989.989	ok . . . whatever . . . did you actually get that user name yet ? or do you prefer hiding behind your ip ?	ilp	5
134	261819785.5286.5286	hay u how is that not just constructiveit ' s loldongs for christs sake ? and love , loldongs	retrieval	3
297	AYG-A1F-56	no problem . the same user ( 74 . 140 . 207 . 84 ) keeps vandalizing the page over and over . could we have a semilocked page ?	retrieval	5
220	A2U-A3S-90	could you remove me from the wikicup for you ? cheers , |	greedy	4
161	A2U-AYG-76	no problem , sorry . could you please tell me , where this phrase originally comes from for me ? thanks a lot	ilp	4
240	AYG-A1F-54	may u unprotect this page s . jithesh and allow for you to recreate the article with more references and sources . . . ? |	greedy	2
16	764589346.50.143435	no problem . ask ? notify me ( i . e . { u } while signing a reply , sorry .	ilp	3
125	616521646.0.0	are n't you idiots for deleting faydee ? is on every disco club all over the world with " ca n't let go " .	retrieval	4
217	A23-A1F-6	hi , could you do montage pics for montreal and toronto article ? thank you and god bless you .	greedy	5
180	A23-A1F-79	based on addition of references and new content for you , would you reconsider your opinion ? no worries . thanks .	ilp	5
78	84927576.7536.7513	i see you blocked can you provide your rationale ? thanks - ( )	greedy	2
213	A1F-AYG-51	and can someone explain why there ' s a coi tag on this article ? it ' s not evident from the talk page .	greedy	4
0	344362658.58046.58022	the bot seems to be down again . maybe can you give it a nudge for me ?	ilp	3
247	AYG-A1F-56	the same user ( 74 . 140 . 207 . 84 ) keeps vandalizing the page over and over . could we have a semilocked page for you ?	greedy	5
229	A3S-AYG-84	no problem . mav , could you give your opinion on talk : republic of ireland please ? 18 : 55 nov 17 , 2002 ( utc )	greedy	4
97	536836485.896.5888	so it was just the final fantasy mos - p <unk>	greedy	3
139	388522044.71835.71835	also , i noticed that you nominated [ bingolotto ( norway ) separately . can you and like to make this a double hook ?	retrieval	2
274	A2U-A1F-2	then can you make some contributions in some of your many areas of expertise ?	retrieval	5
124	745256200.16421.16421	how did you delete that about 2 minutes after i added that ? he did this to me too	retrieval	5
190	AYG-A1F-54	yes , may u unprotect this page s . jithesh and allow to recreate the article with more references and sources . . . ? |	ilp	3
216	AYG-A2U-45	no problem , then will you make some contributions in some of your many areas of expertise ?	greedy	4
273	A3S-A1F-37	could you provide for me permission was received to copy these article from the respective websites and ?	retrieval	2
63	76828126.8874.8874	- often the case in ku club on a weekendwhat did this actually mean ? in anycase removed it .	greedy	2
157	AYG-A2U-17	no problem . hey can you check one more photo for me < unk > > : image : cesar franck . jpg ?	ilp	4
20	76125056.2.18241	btw , will you complete it ? i need diff times around , etc . thanks ,	ilp	5
127	187172385.44467.74287	hello la2 , will you just check the accuracy of this edit ? thanks . -	retrieval	5
158	AYG-A1F-45	deleting stuff on the talk page ? ok , not done sir . everyone look at history of page for sockpuppetry proofs .	ilp	5
6	231234751.219.7499	and what ? there ' s no mention of it on the ada page , and surely there isn ' t sources about it . . . . . unsigned	ilp	5
167	A23-A1F-6	btw could you do montage pics for montreal and toronto article ? thank you and god bless you .	ilp	5
26	495773626.1112.1094	so why is this linked to the pla ' s vehicles section ? please surely	ilp	3
45	398481738.1386.1371	i added one sentence about her construction and design . what else would you suggest ?	ilp	5
212	A1F-A3S-98	no problem . can all interested editors discuss the reintroduction of images to the article ?	greedy	5
145	398481738.1386.1371	i added one sentence about her construction and design . what else would you suggest ?	retrieval	5
10	173647831.52650.0	btw anyone in singpoore , will you explain a little bit more about the characteristics of this program ? . thank you .	ilp	5
71	335373641.13951.0	hi , can you explain why you deleted the ruon page ? thanks	greedy	5
266	AYG-A2U-45	then can you make some contributions in some of your many areas of expertise ?	retrieval	5
146	31346104.1416.1416	can you take it upon yourself to add names to the category to keep it in sync ? cheers	retrieval	5
160	A23-A2U-78	btw , why the hell not use a redirect ? ok , should have checked before commenting , sorry	ilp	5
60	173647831.52650.0	anyone in singpoore , can you please explain a little bit more about the characteristics of this program ? . thank you .	greedy	5
177	AYG-A1F-55	yes , could we have a synonym for ' ' careen ' ' that non - americans will understand , ? like ' ' lurch ' ' ?	ilp	4
277	AYG-A1F-55	sorry , could we have a synonym for ' ' careen ' ' that non - americans will understand , ? like ' ' lurch ' ' ?	retrieval	4
112	420450406.899.27455	looks like signup closed again ? looks useful . • blp - r	retrieval	5
159	AYG-A2U-91	btw , matty , could you just protect victor moses . . . another link to liverpool causing vandalism . sorry , john	ilp	2
74	745256200.16421.16421	how did you delete that about 2 minutes after i added that ? he actually did this to me too	greedy	5
195	A23-A3S-58	hi , sorry , no , it is not a bug that you can edit anything . do your tests in the wikipedia : sandbox .	ilp	2
121	335373641.13951.0	can you explain why you deleted the ruon page ? thanks	retrieval	5
284	A23-A1F-43	could you remove my edit   from the visible page history for privacy reasons ?	retrieval	5
91	119658625.0.0	could someone confirm for you and state that dar ul - funum was ( is ? ) in teheran . fritz @ joern . de	greedy	1
24	745256200.16421.16421	how did you delete that about 2 minutes after i added that ? and he really did this to me too	ilp	5
255	A2U-A1F-45	can you take a look   please , and add anything you feel appropriate . thanks . '	retrieval	5
7	705404990.59113.59113	no worries . sorry , can you review this or block or have it reviewed for me at ani ?	ilp	3
62	420450406.899.27455	looks like signup closed again ? looks really useful . • blp - r	greedy	4
131	609578515.1666.1063	it has not generated the book reports for a long time . can you check ? — · [   ]	retrieval	5
85	816872259.676.28437	actually again , what are you talking about and what are you banning me for ? diffs .	greedy	5
299	A2U-A1F-97	can someone please add a list of presenters to the article ?	retrieval	5
226	A23-A2U-3	oh , did i revert you by accident ? i ' ll fix that right away . please	greedy	4
204	A1F-A23-34	hi joan , per your closing comment , userfy the article for me ? thanks .	greedy	1
144	788800516.3850.0	can someone explain why there 's a coi tag on this article ? it 's not evident from the talk page .	retrieval	5
176	A23-A2U-3	oh damn btw did i revert you by accident ? i ' ll fix that right away please .	ilp	4
106	231234751.219.7499	what ? there 's no mention of it on the ada page , and there s no sources about it ... unsigned ]	retrieval	4
275	A23-AYG-35	lareve , can you say on talk : julius tomin what your objection is to this material ?	retrieval	2
22	156935122.798.0	and what is a graham cracker ? ? please ( 16 january 2007 )	ilp	3
81	609578515.1666.1063	it has not generated the book reports for a long time . can you check for you ? <unk>· [ ]	greedy	2
57	705404990.59113.59113	can you review this or block for you or have it reviewed at ani ? thank you	greedy	3
269	A23-A3S-76	no problem . sodacan , would you mind vectorizing the images below ? it would be great .	retrieval	5
100	344362658.58046.58022	the bot seems to be down again . thank you . can you give it a nudge ?	retrieval	4
207	AYG-A2U-17	no problem . btw , check one more photo for me < unk > : image : cesar franck . jpg ?	greedy	5
118	27309085.35258.35250	jdavidb , if you have a chance would you mind taking a look at this : wp : an / 3rr # user : fuelwagon . thanks .	retrieval	5
194	A23-A3S-91	hi ! hi ! hi ! hi !	ilp	5
294	A23-A3S-91	um , i ' m so sorry i did not notice that i removed that notice .	retrieval	5
12	420450406.899.27455	looks like signup really closed again ? looks useful . please • blp - r	ilp	5
143	796956571.0.81137	thank you . can you provide me with any evidence ? i ' ve had this suspicion for a while now .	retrieval	5
117	468934575.1618.42708	hi 68 ... who are you ? , ,   ... or all of the above ? or   ?	retrieval	2
184	A23-A1F-43	hi , sorry , could you remove my edit from the visible page history for privacy reasons ? ok , thanks for reading this .	ilp	5
150	A23-A1F-7	by the way , could you give me the link of the rfc for you . i fear i just missed it !	ilp	3
154	A1F-A23-34	joan , per your closing comment , please userfy the article for you ?	ilp	2
113	76828126.8874.8874	- often the case in ku club on a weekendwhat did this mean ? or in anycase removed it .	retrieval	1
